央视频道,#genre#
新疆卫视,http://nas.201606.xyz:4022/rtp/239.11.0.58:5140
云南卫视,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.11.0.52:5140
云南卫视,http://nas.201606.xyz:4022/rtp/239.11.0.52:5140
青海卫视,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.11.0.56:5140
青海卫视,http://nas.201606.xyz:4022/rtp/239.11.0.56:5140
西藏卫视,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.11.0.53:5140
西藏卫视,http://nas.201606.xyz:4022/rtp/239.11.0.53:5140
兵团卫视,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.11.0.204:5140
兵团卫视,http://nas.201606.xyz:4022/rtp/239.11.0.204:5140
延边卫视,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.11.0.206:5140
延边卫视,http://nas.201606.xyz:4022/rtp/239.11.0.206:5140
康巴卫视,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.11.0.10:5140
康巴卫视,http://nas.201606.xyz:4022/rtp/239.11.0.10:5140
卡酷动画,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.11.0.129:5140
卡酷动画,http://nas.201606.xyz:4022/rtp/239.11.0.129:5140
少儿动漫,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.10.0.159:5140
少儿动漫,http://nas.201606.xyz:4022/rtp/239.10.0.159:5140
金鹰卡通,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.11.0.127:5140
金鹰卡通,http://nas.201606.xyz:4022/rtp/239.11.0.127:5140
嘉佳卡通,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.11.0.203:5140
嘉佳卡通,http://nas.201606.xyz:4022/rtp/239.11.0.203:5140
优漫卡通,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.11.0.63:5140
优漫卡通,http://nas.201606.xyz:4022/rtp/239.11.0.63:5140
数字频道,#genre#
国学频道,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.10.0.186:5140
国学频道,http://nas.201606.xyz:4022/rtp/239.10.0.186:5140
求索记录,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.10.0.221:5140
求索记录,http://nas.201606.xyz:4022/rtp/239.10.0.221:5140
购物频道,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.10.0.226:5140
购物频道,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.10.0.227:5140
购物频道,http://nas.201606.xyz:4022/rtp/239.10.0.226:5140
购物频道,http://nas.201606.xyz:4022/rtp/239.10.0.227:5140
IPTV频道,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.10.0.121:5140
IPTV频道,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.10.0.123:5140
IPTV频道,http://nas.201606.xyz:4022/rtp/239.10.0.121:5140
IPTV频道,http://nas.201606.xyz:4022/rtp/239.10.0.123:5140
电影频道,#genre#
家庭影院,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.10.0.127:5140
家庭影院,http://nas.201606.xyz:4022/rtp/239.10.0.127:5140
经典电影,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.10.0.122:5140
经典电影,http://nas.201606.xyz:4022/rtp/239.10.0.122:5140
喜剧影院,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.10.0.132:5140
喜剧影院,http://nas.201606.xyz:4022/rtp/239.10.0.132:5140
教育频道,#genre#
中国教育1,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.11.0.139:5140
中国教育1,http://nas.201606.xyz:4022/rtp/239.11.0.139:5140
中国教育2,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.11.0.246:5140
中国教育2,http://nas.201606.xyz:4022/rtp/239.11.0.246:5140
中国教育3,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.11.0.247:5140
中国教育3,http://nas.201606.xyz:4022/rtp/239.11.0.247:5140
CGTN,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.11.0.138:5140
CGTN,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.11.0.245:5140
CGTN,http://nas.201606.xyz:4022/rtp/239.11.0.138:5140
CGTN,http://nas.201606.xyz:4022/rtp/239.11.0.245:5140
华东地区,#genre#
山东教育,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.11.0.140:5140
山东教育,http://nas.201606.xyz:4022/rtp/239.11.0.140:5140
华中地区,#genre#
金鹰纪实,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.10.0.193:5140
金鹰纪实,http://nas.201606.xyz:4022/rtp/239.10.0.193:5140
西南地区,#genre#
四川影视,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.11.0.77:5140
四川影视,http://nas.201606.xyz:4022/rtp/239.11.0.77:5140
四川科教,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.11.0.194:5140
四川科教,http://nas.201606.xyz:4022/rtp/239.11.0.194:5140
天府经典,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.10.0.130:5140
天府经典,http://nas.201606.xyz:4022/rtp/239.10.0.130:5140
天府军旅,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.10.0.131:5140
天府军旅,http://nas.201606.xyz:4022/rtp/239.10.0.131:5140
天府教育,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.10.0.136:5140
天府教育,http://nas.201606.xyz:4022/rtp/239.10.0.136:5140
天府辣妈,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.10.0.137:5140
天府辣妈,http://nas.201606.xyz:4022/rtp/239.10.0.137:5140
天府风尚,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.10.0.138:5140
天府风尚,http://nas.201606.xyz:4022/rtp/239.10.0.138:5140
天府名医,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.10.0.139:5140
天府名医,http://nas.201606.xyz:4022/rtp/239.10.0.139:5140
天府魔力,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.10.0.140:5140
天府魔力,http://nas.201606.xyz:4022/rtp/239.10.0.140:5140
峨眉电影,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.11.0.11:5140
峨眉电影,http://nas.201606.xyz:4022/rtp/239.11.0.11:5140
稻城电视台,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.10.0.29:5140
稻城电视台,http://nas.201606.xyz:4022/rtp/239.10.0.29:5140
宜宾新闻,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.10.0.33:5140
宜宾新闻,http://nas.201606.xyz:4022/rtp/239.10.0.33:5140
其他频道,#genre#
cdtv1,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.10.0.11:5140
cdtv1,http://nas.201606.xyz:4022/rtp/239.10.0.11:5140
cdtv2,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.10.0.12:5140
cdtv2,http://nas.201606.xyz:4022/rtp/239.10.0.12:5140
cdtv3,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.10.0.13:5140
cdtv3,http://nas.201606.xyz:4022/rtp/239.10.0.13:5140
cdtv4,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.10.0.14:5140
cdtv4,http://nas.201606.xyz:4022/rtp/239.10.0.14:5140
cdtv5,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.10.0.15:5140
cdtv5,http://nas.201606.xyz:4022/rtp/239.10.0.15:5140
cdtv6,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.10.0.16:5140
cdtv6,http://nas.201606.xyz:4022/rtp/239.10.0.16:5140
HOT爱喜剧,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.10.0.143:5140
HOT爱喜剧,http://nas.201606.xyz:4022/rtp/239.10.0.143:5140
HOT经典,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.10.0.151:5140
HOT经典,http://nas.201606.xyz:4022/rtp/239.10.0.151:5140
PP体育直播-1,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.10.0.232:5140
PP体育直播-1,http://nas.201606.xyz:4022/rtp/239.10.0.232:5140
PP体育直播-2,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.10.0.233:5140
PP体育直播-2,http://nas.201606.xyz:4022/rtp/239.10.0.233:5140
PP体育直播-3,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.10.0.234:5140
PP体育直播-3,http://nas.201606.xyz:4022/rtp/239.10.0.234:5140
PP体育直播-4,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.10.0.236:5140
PP体育直播-4,http://nas.201606.xyz:4022/rtp/239.10.0.236:5140
光影,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.10.0.153:5140
光影,http://nas.201606.xyz:4022/rtp/239.10.0.153:5140
军旅剧场,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.10.0.125:5140
军旅剧场,http://nas.201606.xyz:4022/rtp/239.10.0.125:5140
动画,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.10.0.163:5140
动画,http://nas.201606.xyz:4022/rtp/239.10.0.163:5140
古装剧场,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.10.0.126:5140
古装剧场,http://nas.201606.xyz:4022/rtp/239.10.0.126:5140
咪咕视频,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.10.0.235:5140
咪咕视频,http://nas.201606.xyz:4022/rtp/239.10.0.235:5140
城市剧场,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.10.0.124:5140
城市剧场,http://nas.201606.xyz:4022/rtp/239.10.0.124:5140
好享购物,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.10.0.231:5140
好享购物,http://nas.201606.xyz:4022/rtp/239.10.0.231:5140
快乐购,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.10.0.230:5140
快乐购,http://nas.201606.xyz:4022/rtp/239.10.0.230:5140
戏曲,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.10.0.150:5140
戏曲,http://nas.201606.xyz:4022/rtp/239.10.0.150:5140
时尚购物,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.10.0.225:5140
